1011	1	0.297349
1011	2	0.180184
1011	3	0.127273
1011	4	0.356765
1011	5	0.038429
1012	1	0.263597
1012	2	0.252306
1012	3	0.138416
1012	4	0.297122
1012	5	0.048559
1013	1	0.307454
1013	2	0.144326
1013	3	0.065758
1013	4	0.454367
1013	5	0.028094
1014	1	0.191384
1014	2	0.258292
1014	3	0.114971
1014	4	0.385543
1014	5	0.049809
1021	1	0.294888
1021	2	0.122078
1021	3	0.082695
1021	4	0.467437
1021	5	0.032902
1022	1	0.397430
1022	2	0.190897
1022	3	0.148806
1022	4	0.228641
1022	5	0.034227
1023	1	0.506153
1023	2	0.067982
1023	3	0.054040
1023	4	0.349264
1023	5	0.022562
1024	1	0.218568
1024	2	0.186723
1024	3	0.117640
1024	4	0.430815
1024	5	0.046253
1031	1	0.314375
1031	2	0.114856
1031	3	0.077226
1031	4	0.470656
1031	5	0.022887
1032	1	0.177953
1032	2	0.252120
1032	3	0.165810
1032	4	0.333495
1032	5	0.070622
1033	1	0.353165
1033	2	0.129359
1033	3	0.080389
1033	4	0.413576
1033	5	0.023511
1034	1	0.214126
1034	2	0.196913
1034	3	0.083667
1034	4	0.449390
1034	5	0.055905
1041	1	0.219185
1041	2	0.118897
1041	3	0.058165
1041	4	0.551429
1041	5	0.052324
1042	1	0.189201
1042	2	0.226403
1042	3	0.162015
1042	4	0.331007
1042	5	0.091374
1043	1	0.156927
1043	2	0.219595
1043	3	0.130689
1043	4	0.388810
1043	5	0.103979
1051	1	0.329167
1051	2	0.138834
1051	3	0.115268
1051	4	0.362428
1051	5	0.054302
1052	1	0.200105
1052	2	0.239206
1052	3	0.165375
1052	4	0.318988
1052	5	0.076326
1053	1	0.287278
1053	2	0.202674
1053	3	0.129084
1053	4	0.310069
1053	5	0.070895
1061	1	0.238984
1061	2	0.168191
1061	3	0.219815
1061	4	0.313136
1061	5	0.059875
1062	1	0.192065
1062	2	0.194979
1062	3	0.167033
1062	4	0.413639
1062	5	0.032283
1063	1	0.211831
1063	2	0.162941
1063	3	0.168027
1063	4	0.411038
1063	5	0.046163
1071	1	0.296189
1071	2	0.222217
1071	3	0.246514
1071	4	0.195087
1071	5	0.039994
1072	1	0.305026
1072	2	0.226041
1072	3	0.204627
1072	4	0.238452
1072	5	0.025853
1073	1	0.364188
1073	2	0.233114
1073	3	0.141972
1073	4	0.234576
1073	5	0.026150
1074	1	0.444634
1074	2	0.145482
1074	3	0.161461
1074	4	0.210323
1074	5	0.038101
1081	1	0.249041
1081	2	0.177587
1081	3	0.228735
1081	4	0.308149
1081	5	0.036488
1082	1	0.289080
1082	2	0.177327
1082	3	0.248095
1082	4	0.243183
1082	5	0.042315
1083	1	0.301624
1083	2	0.192082
1083	3	0.186264
1083	4	0.297854
1083	5	0.022175
1084	1	0.241343
1084	2	0.169438
1084	3	0.168626
1084	4	0.401995
1084	5	0.018597
1085	1	0.223707
1085	2	0.184502
1085	3	0.200251
1085	4	0.289672
1085	5	0.101868
1091	1	0.524491
1091	2	0.127337
1091	3	0.131034
1091	4	0.202569
1091	5	0.014568
1092	1	0.452050
1092	2	0.184112
1092	3	0.174847
1092	4	0.168988
1092	5	0.020002
1093	1	0.315979
1093	2	0.207058
1093	3	0.171757
1093	4	0.280597
1093	5	0.024610
1094	1	0.300634
1094	2	0.164533
1094	3	0.163287
1094	4	0.357904
1094	5	0.013642
1095	1	0.275039
1095	2	0.173876
1095	3	0.163141
1095	4	0.325818
1095	5	0.062125
1101	1	0.654842
1101	2	0.139159
1101	3	0.103181
1101	4	0.093162
1101	5	0.009655
1102	1	0.531647
1102	2	0.139845
1102	3	0.182246
1102	4	0.131444
1102	5	0.014818
1103	1	0.284895
1103	2	0.209474
1103	3	0.279040
1103	4	0.176326
1103	5	0.050264
1104	1	0.363259
1104	2	0.140390
1104	3	0.109255
1104	4	0.362560
1104	5	0.024537
1111	1	0.426360
1111	2	0.110307
1111	3	0.177151
1111	4	0.272514
1111	5	0.013668
1112	1	0.373631
1112	2	0.186916
1112	3	0.242224
1112	4	0.182182
1112	5	0.015047
1113	1	0.532544
1113	2	0.080946
1113	3	0.095099
1113	4	0.275751
1113	5	0.015660
1114	1	0.248323
1114	2	0.190103
1114	3	0.438970
1114	4	0.099949
1114	5	0.022655
1115	1	0.207951
1115	2	0.202117
1115	3	0.163845
1115	4	0.302896
1115	5	0.123191
1121	1	0.485186
1121	2	0.076789
1121	3	0.095521
1121	4	0.325841
1121	5	0.016663
1122	1	0.615237
1122	2	0.064208
1122	3	0.065237
1122	4	0.245867
1122	5	0.009451
1123	1	0.407160
1123	2	0.087856
1123	3	0.116747
1123	4	0.363467
1123	5	0.024769
1124	1	0.249144
