100101	339	191	83	165
100102	366	168	106	212
100103	440	187	84	167
100104	512	190	98	195
100201	356	184	85	170
100202	386	163	107	214
100203	443	178	84	168
100204	526	187	99	198
100301	367	183	86	172
100302	399	158	111	221
100303	442	180	86	171
100304	524	179	102	203
100401	372	185	90	179
100402	407	164	113	226
100403	517	186	105	210
100501	360	180	92	183
100502	405	156	116	232
100503	501	181	108	215
100601	357	183	96	191
100602	414	158	119	237
100603	498	180	107	213
100701	354	183	100	199
100702	431	158	120	240
100703	489	179	114	227
100704	593	186	90	180
100801	338	186	103	205
100802	411	181	100	199
100803	437	156	122	244
100804	478	182	111	222
100805	565	183	88	175
100901	322	186	102	204
100902	409	182	103	206
100903	436	156	124	248
100904	469	176	116	232
100905	520	189	85	170
101001	312	186	102	203
101002	401	173	106	212
101003	426	147	126	251
101004	449	178	117	234
101101	296	178	107	214
101102	377	179	109	218
101103	403	180	119	238
101104	421	149	125	250
101105	626	157	94	199
101201	267	186	110	219
101202	349	185	122	243
101203	414	147	133	266
101204	603	167	97	194
101301	234	174	112	224
101302	294	174	130	259
101303	335	174	115	230
101304	380	147	137	274
101305	587	163	95	189
101401	199	172	116	231
101402	234	164	129	258
101403	306	170	114	227
101404	348	136	140	280
101405	569	156	96	192
101406	622	180	81	162
101501	172	171	140	279
101502	260	172	120	240
101503	319	140	144	288
101504	544	164	91	182
101505	601	188	78	155
101601	119	169	140	279
101602	230	173	121	242
101603	286	134	149	297
101604	530	169	94	188
101605	588	191	78	155
101701	50	151	151	301
101702	189	159	128	256
101703	245	134	149	298
101704	522	163	91	182
101705	575	189	76	152
101801	1	159	152	304
101802	48	175	123	245
101803	137	167	129	258
101804	180	128	158	315
101805	503	170	90	179
101806	563	193	76	151
101901	1	158	132	264
101902	88	162	137	273
101903	142	129	154	308
101904	494	172	89	177
101905	570	191	70	139
102001	34	157	138	276
102002	93	119	160	320
102003	196	197	73	145
102004	484	177	84	168
102005	565	196	72	144
102101	24	115	165	330
102102	176	197	70	140
102103	476	176	82	164
102104	559	190	73	146
102201	1	112	172	343
102202	141	202	69	137
102203	468	173	80	160
102204	554	189	72	143
102301	121	190	71	141
102302	464	176	80	159
102303	549	186	71	142
102401	97	183	72	144
102402	466	167	78	156
102403	550	183	69	137
102501	79	189	64	127
102502	464	171	75	150
102503	546	186	66	132
102601	48	189	66	131
102602	469	171	72	144
102603	548	188	66	131
102701	34	183	67	133
102702	478	171	74	147
102703	550	184	66	131
102801	485	167	73	145
102802	553	181	65	130
102901	494	169	69	138
102902	564	182	64	127
103001	498	173	67	133
103002	574	183	62	124
103101	511	169	69	137
103102	581	184	60	119
200101	239	198	83	165
200102	303	194	81	161
200103	369	197	96	192
200104	480	200	77	154
200105	517	202	56	111
200106	567	196	55	109
200107	580	205	63	126
200201	249	193	83	165
200202	311	191	81	161
200203	355	195	97	193
200204	437	202	57	114
200205	479	197	78	156
200206	519	199	58	116
200207	575	196	51	101
200208	591	197	63	126
200301	256	180	84	168
200302	315	179	84	168
200303	342	177	105	210
200304	392	171	89	178
200305	440	189	59	118
200306	490	187	81	162
200307	523	185	62	124
200308	585	182	55	109
200309	608	188	61	122
200401	254	184	83	166
200402	317	181	81	161
200403	332	183	106	211
200404	392	173	89	178
200405	444	193	59	118
200406	479	183	86	171
200407	528	188	60	119
200408	586	178	57	114
200409	625	188	61	121
200501	256	183	84	167
200502	309	186	108	215
200503	396	174	89	177
200504	440	194	60	120
200505	467	180	86	172
200506	526	191	63	125
200507	592	182	52	103
200601	259	181	87	174
200602	289	181	113	225
200603	325	179	83	166
200604	399	173	89	178
200605	444	192	64	128
200606	465	188	89	177
200607	525	185	67	133
200608	594	182	55	110
200701	264	183	83	166
200702	278	189	115	229
200703	328	182	83	166
200704	401	176	90	179
200705	452	188	94	187
200706	539	188	66	131
200707	596	178	56	112
200708	633	186	74	147
200801	251	184	119	237
200802	328	182	81	162
200803	402	172	89	178
200804	444	184	92	183
200805	534	188	67	133
200806	597	183	52	103
200807	616	189	69	137
200901	235	188	124	247
200902	334	184	84	167
200903	410	181	89	178
200904	454	194	97	193
200905	543	192	67	133
200906	614	192	70	140
201001	221	191	123	246
201002	332	185	83	165
201003	411	180	87	173
201004	441	192	102	203
201005	548	193	70	140
201006	604	193	66	132
201101	197	185	131	262
201102	335	181	83	165
201103	410	176	88	176
201104	433	182	103	206
201105	548	185	72	143
201106	608	191	64	128
201201	162	174	137	274
201202	263	177	83	165
201203	326	174	85	169
201204	405	169	89	178
201205	424	182	106	212
201206	471	189	69	137
201207	545	176	75	150
201208	601	180	67	133
201301	151	176	141	282
201302	265	178	82	163
201303	332	174	81	162
201304	405	180	110	219
201305	478	187	70	139
201306	556	178	76	151
201401	126	177	144	287
201402	265	176	83	165
201403	330	172	82	163
201404	390	176	114	227
201405	484	188	68	136
201406	557	176	78	156
201407	616	177	64	127
201501	86	166	152	304
201502	248	170	83	165
201503	321	169	82	163
201504	368	181	114	228
201505	397	165	90	179
201506	479	184	70	139
201507	557	172	79	158
201508	607	177	62	124
201601	68	171	155	309
201602	252	167	85	169
201603	320	167	81	162
201604	346	182	118	236
201605	397	162	89	178
201606	481	174	76	151
201607	568	169	79	158
201608	611	176	61	121
201701	68	178	156	302
201702	273	177	81	162
201703	338	179	126	251
201704	420	167	88	176
201705	502	186	76	152
201706	589	172	84	167
201801	5	167	165	313
201802	246	170	85	169
201803	291	183	128	255
201804	386	164	90	179
201805	472	186	75	150
201806	554	169	86	171
201807	608	178	58	116
201901	233	171	84	167
201902	249	184	134	267
201903	374	167	88	175
201904	457	182	80	159
201905	540	172	86	172
201906	597	179	57	113
202001	209	179	143	285
202002	285	173	83	165
202003	365	168	89	178
202004	431	182	84	167
202005	520	171	88	176
202006	585	176	59	117
202101	209	186	144	288
202102	295	174	80	160
202103	374	170	88	175
202104	431	185	83	165
202105	510	173	88	175
202106	598	178	55	109
202201	166	179	148	295
202202	280	167	83	165
202203	357	160	90	180
202204	399	177	85	169
202205	487	170	88	176
202206	587	172	56	111
202301	102	170	158	310
202302	245	167	82	163
202303	321	161	89	178
202304	345	178	86	172
202305	437	167	94	187
202306	552	174	53	106
202401	63	176	160	304
202402	157	174	83	165
202403	221	168	82	163
202404	304	181	88	176
202405	396	167	96	192
202406	524	170	54	108
202501	141	184	85	169
202502	211	187	80	160
202503	268	193	90	180
202504	369	184	97	194
202505	515	191	51	101
202601	140	197	86	171
202602	207	198	81	162
202603	246	205	95	189
202604	292	192	90	180
202605	359	191	102	203
202606	513	202	53	105
202701	174	193	83	165
202702	239	194	81	161
202703	264	206	93	185
202704	326	185	91	181
202705	374	194	104	208
202801	188	188	81	161
202802	253	200	93	186
202803	328	182	87	174
202804	377	188	104	207
202901	181	180	94	187
202902	230	193	100	200
202903	314	177	92	184
202904	367	177	110	219
203001	199	192	107	214
203002	244	179	83	165
203003	299	170	98	196
203004	341	180	113	226
203101	290	157	96	192
203102	313	162	119	237
203201	303	164	120	240
203301	282	162	124	248
203501	113	169	120	240
300101	178	221	67	134
300102	236	237	55	110
300103	557	223	54	107
300104	597	223	51	102
300201	173	230	70	139
300202	203	221	55	109
300203	229	246	60	120
300204	532	229	54	107
300301	174	232	69	137
300302	196	226	54	107
300303	224	248	60	119
300304	266	239	40	79
300305	511	232	53	105
300306	548	231	52	103
300401	168	223	70	139
300402	189	218	54	108
300403	216	241	63	125
300404	258	235	41	81
300405	477	224	52	103
300406	517	220	55	109
300407	563	230	49	98
300501	172	224	71	141
300502	223	245	61	121
300503	265	233	43	85
300504	467	227	49	97
300505	500	221	53	106
300506	544	229	49	98
300601	166	221	72	143
300602	221	240	64	127
300603	260	231	42	84
300604	440	223	52	103
300605	478	218	55	109
300606	518	223	52	104
300701	173	223	72	144
300702	224	243	60	119
300703	422	224	51	101
300704	460	220	51	102
300705	503	229	50	100
300801	172	226	70	140
300802	224	240	65	129
300803	397	224	51	102
300804	445	223	51	102
300805	484	232	46	92
300901	180	223	70	140
300902	230	239	61	122
300903	378	222	52	103
300904	428	221	50	99
300905	466	228	49	97
301001	185	226	70	140
301002	232	241	63	125
301003	360	222	50	100
301004	416	221	50	100
301005	453	227	51	101
301101	151	224	55	110
301102	181	222	72	143
301103	231	239	62	123
301104	346	221	49	98
301105	400	219	50	100
301106	447	230	44	88
301201	147	217	60	119
301202	185	228	67	133
301203	241	239	61	122
301204	333	221	47	94
301205	391	218	48	95
301206	433	224	48	95
301301	132	217	63	126
301302	167	231	70	140
301303	231	243	66	131
301304	315	222	50	100
301305	415	221	49	98
301401	109	210	66	132
301402	150	220	74	148
301403	226	244	62	124
301404	306	217	47	94
301405	400	219	47	93
301501	93	211	72	143
301502	157	218	77	153
301503	237	242	62	124
301504	312	221	47	94
301505	396	221	45	89
301601	73	223	68	135
301602	145	226	76	152
301603	228	252	62	123
301604	306	221	48	95
301605	579	231	49	98
301701	47	220	71	141
301702	126	217	80	160
301703	217	248	67	134
301704	293	219	46	92
301705	325	217	48	95
301706	550	222	52	103
301801	19	218	76	151
301802	114	217	82	163
301803	201	242	68	136
301804	288	218	46	91
301805	318	216	45	90
301806	525	222	51	101
301901	101	212	84	167
301902	183	237	73	146
301903	283	216	45	90
301904	309	215	44	88
301905	334	225	41	81
301906	505	225	49	97
302001	92	209	88	176
302002	171	231	75	150
302003	479	216	50	100
400101	87	181	57	114
400102	116	181	59	118
400103	216	182	60	120
400104	274	175	60	120
400105	304	182	56	111
400106	347	184	56	111
400107	428	182	57	114
400201	87	181	57	114
400202	116	181	59	118
400203	216	182	60	120
400204	274	175	60	120
400205	304	182	56	111
400206	347	184	56	111
400207	428	182	57	114
400301	52	176	58	115
400302	88	178	58	116
400303	185	179	60	120
400304	244	183	49	97
400305	274	176	60	120
400306	303	186	55	110
400307	346	184	54	108
400308	434	189	55	109
400401	51	189	58	115
400402	86	191	57	114
400403	185	192	60	121
400404	234	197	49	98
400405	285	185	64	129
400406	317	195	58	116
400407	366	198	56	111
400408	459	199	56	111
400501	60	182	58	116
400502	95	183	59	118
400503	194	187	61	121
400504	234	191	50	99
400505	308	183	65	130
400506	345	191	58	116
400507	407	192	56	111
400508	493	198	56	111
400601	69	185	58	116
400602	106	188	58	116
400603	209	194	59	119
400604	329	185	66	133
400605	375	197	58	115
400606	442	198	58	116
400607	537	206	56	113
